team,abbrevation,region,tier,players,last_change,changes,url
İstanbul Wildcats,IW,Turkey,Tier 2,"['sturNN', 'Gloomy', 'baha', 'dRKY', 'deminatiX', 'wtex']",2025-01-18,0,https://www.vlr.gg/team/6132/stanbul-wildcats
Szach Mat,SM,North East,Tier 2,"['Krizz', 'Kozok', 'Czester', 'demek', 'NeFi', 'Szalony']",2025-01-26,2,https://www.vlr.gg/team/11257/szach-mat
TBK Esports,TBK,Brazil,Tier 2,"['vit9ine', 'Champzera', 'Myssen', 'Kring', 'ind1n']",2025-02-07,2,https://www.vlr.gg/team/6946/tbk-esports
HGE Esport,HGE,Spain,Tier 2,"['H1ber', 'Famsii', 'Serial', 'Sacake', 'Michel']",2025-01-20,0,https://www.vlr.gg/team/14614/hge-esport
University War GC,UW.GC,LATAM South,Game Changers,"['Naxa', 'theozy', 'tok1o', 'Lynn', 'Saikiwi', 'freya']",2025-02-28,2,https://www.vlr.gg/team/14958/university-war-gc
Team Liquid Brazil,TL,Brazil,Game Changers,"['daiki', 'Bizerra', 'Joojina', 'isaa', 'bstrdd']",2025-01-18,0,https://www.vlr.gg/team/7055/team-liquid-brazil
ESC Gaming,ESC,North East,Tier 2,"['TheNightChe', 'Luvjix']",2025-01-30,3,https://www.vlr.gg/team/8996/esc-gaming
mesos millionaires,MESO,North America GC,Game Changers,"['edith', 'Slandy', 'TeddyIsFluffy', 'Aniemal', 'habibti']",2024-07-26,0,https://www.vlr.gg/team/14722/mesos-millionaires
HAVU Gaming,HAVU,North East,Tier 2,"['Paulus', 'Eagle', 'nixoon', 'C4pee', 'nausea']",2025-01-05,5,https://www.vlr.gg/team/17178/havu-gaming
REJECT,RC,Japan,Tier 2,"['muto', 'Hate', 'Sayaplayer', 'BRIAN']",2025-02-28,1,https://www.vlr.gg/team/104/reject
Joblife,JL,France,Tier 2,"['starxo', 'AKUMAAAAA', 'UNFAKE', 'Jesse', 'wackie']",2024-12-29,5,https://www.vlr.gg/team/11232/joblife
Chinggis Warriors,CGW,Mongolia,Tier 2,"['Nano', 'BE', 'Beelze', 'Hyper', 'anotherrr', 'starrz']",Unknown,22,https://www.vlr.gg/team/15306/chinggis-warriors
Winthrop University,WU,North America,Tier 2/CVal,"['flare', 'moobs', 'Jerk', 'infiltrator', 'Nahsie', 'Branchies']",2025-01-15,0,https://www.vlr.gg/team/10448/winthrop-university
ShindeN,SHI,LATAM South,Tier 2,"['murizzz', 'snw', 'david', 'rubkkoide']",2025-02-28,1,https://www.vlr.gg/team/16971/shinden
Paper Rex,PRX,Pacific,Tier 1,"['mindfreak', 'Jinggg', 'f0rsakeN', 'd4v41', 'something']",2025-01-24,0,https://www.vlr.gg/team/624/paper-rex
OXEN,OXÜ,LATAM South,Tier 2,"['gio', 'benG', 'Dantedeu5', 'ganter', 'mta']",2025-01-30,5,https://www.vlr.gg/team/9427/oxen
Zen eSports GC,ZEN.GC,LATAM South,Game Changers,"['azul', 'crona', 'tconda', 'kalita', 'nati', 'vii', 'diewijAs']",2025-02-13,1,https://www.vlr.gg/team/15153/zen-esports-gc
SK Nebula,SK.N,EMEA,Game Changers,"['jademwah', 'devilasxa', 'Joliinaa', 'PuriTy', 'cabbit']",2025-01-22,5,https://www.vlr.gg/team/15832/sk-nebula
CGN Esports,CGN,DACH,Tier 2,"['BennY', 'elllement', 'Ambi', 'Wolfen', 'DaviH', 'Vince']",2025-01-18,1,https://www.vlr.gg/team/5214/cgn-esports
YFP X,,North America GC,Game Changers,"['bunnybee', 'evv', 'k0rupt', 'melya', 'Nora']",2024-05-26,0,https://www.vlr.gg/team/13301/yfp-x
Dragon Ranger Gaming,DRG,China,Tier 1,"['Flex1n', 'vo0kashu', 'Cangshu', 'Nicc', 'TvirusLuke', 'Ying', 'SpiritZ1']",2025-02-06,1,https://www.vlr.gg/team/11981/dragon-ranger-gaming
100 Thieves,100T,Americas,Tier 1,"['Boostio', 'zander', 'Cryocells', 'eeiu', 'Asuna']",2024-11-05,0,https://www.vlr.gg/team/120/100-thieves
BLVKHVND,HVND,EMEA,Game Changers,"['mimier', 'berryx', 'h6tedthemost', 'Wens', 'Lateu']",2025-01-19,4,https://www.vlr.gg/team/15399/blvkhvnd
FOKUS,FKS,DACH,Tier 2,"['hoody', 'YaBoiLewis', 'Mistic', 'al0rante', 'xuss']",2024-11-03,2,https://www.vlr.gg/team/6882/fokus
Six Karma,6K,LATAM North,Tier 2,"['Mephisto', 'KILLY', 'rowancy', 'Peloncito', 'otaQ', 'Ryu']",2025-01-24,1,https://www.vlr.gg/team/4094/six-karma
Nightblood Gaming,NBG,North America,Tier 2/CVal,"['HUYNH', 'FireBallOps', 'Kess', 'alym', 'b0i']",2024-01-04,2,https://www.vlr.gg/team/5601/nightblood-gaming
LEVIATÁN Academy,LEV.AC,LATAM South,Tier 2,"['Neon', 'blowz', 'erde', 'ghoul33', 'MiradaNinja']",2025-01-28,0,https://www.vlr.gg/team/9425/leviat-n-academy
IGZIST,IGZ,Japan,Tier 2,"['RIA', 'popogachi', 'Frxeez', 'Yamada', 'oitaN', 'poem']",2025-01-28,1,https://www.vlr.gg/team/6869/igzist
DNSTY,DSY,Spain,Tier 2,"['caydeN', 'waddle', 'Tag', 'baddyG', 'SimonD4rk']",2025-01-12,0,https://www.vlr.gg/team/17179/dnsty
RIDDLE ORDER,RID,Japan,Tier 2,"['JoXJo', 'Minty', 'Caedye', 'Seoldam', 'yatsuka']",2024-11-12,1,https://www.vlr.gg/team/14375/riddle-order
Team Leveling,TLV,Brazil,Game Changers,"['gabiTê', 'misty', 'Daniops', 'isa1', 'mindle']",Unknown,13,https://www.vlr.gg/team/15277/team-leveling
GIANTX,GX,EMEA,Tier 1,"['Cloud', 'purp0', 'runneR', 'westside', 'tomaszy']",2025-01-02,0,https://www.vlr.gg/team/14419/giantx
CREST GAMING Zst,CGZ,Japan,Tier 2,"['bazz', 'KEN', 'sakurai']",2025-03-03,2,https://www.vlr.gg/team/294/crest-gaming-zst
ZETA Gaming,ZTA,Spain,Tier 2,"['d3mur', 'falltw', 'Lele', 'N A I S', 'Z3RO']",2025-01-04,7,https://www.vlr.gg/team/8258/zeta-gaming
Stellae Gaming,STE,Brazil,Tier 2,"['guuih', 'Siduzord', 'phc', 'kwn', 'Palla', 'Tisora']",2025-02-04,1,https://www.vlr.gg/team/10727/stellae-gaming
Zerance,ZER,France,Tier 2,"['YAYAX', 'thebigfiz', 'Babax', 'Ooriime', 'lux9']",2025-01-07,4,https://www.vlr.gg/team/9559/zerance
Aura,AA,LATAM South,Tier 2,"['Fross', 'Miyeon', 'jcz', 'KIMB0', 'deigara']",2024-11-08,0,https://www.vlr.gg/team/16726/aura
Metizport,MZP,North East,Tier 2,"['Burzzy', 'aNguiSt', 'juseu', 'SEIDER', 'shinnok']",2025-02-28,0,https://www.vlr.gg/team/12489/metizport
All Gamers,AG,China,Tier 1,"['nizhaoTZH', 'XiYiJi', 'Lsn', 'bunt', 'monk', 'deLb', 'K1ra', 'Master', 'happy']",2025-01-16,0,https://www.vlr.gg/team/1119/all-gamers
Galakticos,GAL,Turkey,Tier 2,"['DESTRUCT1VEE', 'Bard0lf', 'sterben', 'MOJJ', 'qw1', 'glovee']",2025-01-10,0,https://www.vlr.gg/team/4762/galakticos
Fire Flux Esports,FFV,Turkey,Tier 2,"['JN3v1cE', 'musz3kk', 'Docent', 'kabzi', 'influx']",2025-02-12,0,https://www.vlr.gg/team/4686/fire-flux-esports
ALTERNATE aTTaX Ruby,ATNR,EMEA,Game Changers,"['Jade', 'ginger', 'ellie', 'Blossi', 'Harmonee']",2024-06-12,1,https://www.vlr.gg/team/11496/alternate-attax-ruby
esports team αD,ADV,Japan,Tier 2,"['abu', 'niki', 'Han', 'EscO', 'Kyuanyami', '61ue', 'kokuya']",2024-11-27,2,https://www.vlr.gg/team/14677/esports-team-d
TYLOO,TYL,China,Tier 1,"['hfmi0dzjc9z7', '5CM', 'Ninebody', 'slowly', 'Eren']",2024-12-24,0,https://www.vlr.gg/team/731/tyloo
Xipto Esports,XIP,MA/Sing,Tier 2,"['Fixy', 'Riza', 'Suka']",2025-02-16,1,https://www.vlr.gg/team/17167/xipto-esports
děti ulice,DET,North East,Tier 2,"['kya', 'Gunners', 'Patix', 'Nunmeister', 'WanZeru']",Unknown,5,https://www.vlr.gg/team/17211/d-ti-ulice
UCAM Esports Club,UCAM,Spain,Tier 2,"['Quick', 'Flickless', 'YuNo']",2025-02-28,2,https://www.vlr.gg/team/4616/ucam-esports-club
RRQ Academy,RRQA,Indonesia,Tier 2,"['zhar', 'splash', 'woody', 'natz']",2025-02-11,1,https://www.vlr.gg/team/17021/rrq-academy
FEARX,BFX,Korea,Tier 2,"['Kally', 'Cloy', 'SID', 'Hermes', 'Banger']",2025-01-26,0,https://www.vlr.gg/team/15744/fearx
Chivas Esports,CHV,LATAM North,Tier 2,"['nAvarro', 'pompZ', 'Javiierh', 'Sventy', 'paganus']",2025-01-28,2,https://www.vlr.gg/team/2131/chivas-esports
SZK Esports,SZK,Spain,Tier 2,"['Enrik', 'LUKYYY', 'Jahbu', 'Daniel0', 'Lolito']",2025-01-27,6,https://www.vlr.gg/team/2761/szk-esports
Gen.G,GEN,Pacific,Tier 1,"['Munchkin', 'Foxy9', 't3xture', 'yoman', 'Karon']",2024-12-18,0,https://www.vlr.gg/team/17/gen-g
Pixel Lumina,PLU,North East,Tier 2,"['ALMO', 'maniek', 'bzt', 'szimpli', 'Stix']",2025-01-15,2,https://www.vlr.gg/team/17177/pixel-lumina
Formulation Gaming,FMG,North East,Tier 2,"['puggy', '999kvmil', 'MaximN', 'Kalkkuna', 'Vuubit']",2025-01-14,2,https://www.vlr.gg/team/10417/formulation-gaming
KRÜ Esports,KRÜ,Americas,Tier 1,"['keznit', 'Mazino', 'adverso', 'Shyy', 'Melser', 'Nyogen']",2025-01-29,0,https://www.vlr.gg/team/2355/kr-esports
KOI Fénix,MKF,Spain,Tier 2,"['OLIZERA', 'MONSTEERR', 'Guardy', 'pika', 'ZachKappa']",2025-01-02,5,https://www.vlr.gg/team/17174/koi-academy
Evil Geniuses,EG,Americas,Tier 1,"['NaturE', 'Derrek', 'supamen', 'icy', 'yay']",2024-12-20,2,https://www.vlr.gg/team/5248/evil-geniuses
Nova Esports,NOVA,China,Tier 1,"['o0o0o', 'SWERL', 'CB', 'Ezeir', 'GuanG']",2024-06-11,2,https://www.vlr.gg/team/12064/nova-esports
CICADAS Gaming,CG,France,Tier 2,"['NowaXxZang', 'Sp1ke', 'Yuta', 'MateliaN', 'BALLI']",2024-12-19,3,https://www.vlr.gg/team/13599/cicadas-gaming
DRAGONS,DRGN,GCC,Tier 2,"['iNaz', 'AL7B', 'k1Ng', 'Rayy', 'Psilence']",2024-07-12,6,https://www.vlr.gg/team/9437/dragons
Zero Tenacity,Z10,North East,Tier 2,"['alexiiik', 'Prti', 'Grmekista', 'msh', 'TajReX']",2025-01-19,5,https://www.vlr.gg/team/8946/zero-tenacity
SCARZ,SZ,Japan,Tier 2,"['zepher', 'Medusa', 'Anthem', 'LOB', 'Yoshiii', 'Satwoshi']",2025-01-14,0,https://www.vlr.gg/team/282/scarz
BABO,,Japan,Tier 2,"['YoWamu', 'Ask', 'kurozooted', 'Dan', 'ScoPe', 'Ady']",2024-12-24,2,https://www.vlr.gg/team/16242/babo
BLUE BEES.ESP,BB,Japan,Tier 2,"['keisu', 'Lafura', 'Zan', 'e9Lair', 'kenmohororo']",2024-11-22,1,https://www.vlr.gg/team/2108/blue-bees-esp
Falke Esports,FLK,Spain,Tier 2,"['GrTw', 'jannyXD', 'Bati', 'Fragger', 'starkk']",2025-01-10,6,https://www.vlr.gg/team/15009/falke-esports
Corinthians Esports,SCCP,Brazil,Tier 2,"['shion', 'liazzi', 'sw', 'tkzin', 'pollo']",2025-01-29,5,https://www.vlr.gg/team/17127/corinthians-esports
Siko,SIKO,France,Tier 2,"['Kipperman', 'Tenshi', 'kpro', 'poegii', 'Hyperzxz', 'Rouss']",2025-02-01,1,https://www.vlr.gg/team/13779/siko
FN Pocheon,FN,Korea,Tier 2,"['AcMe', 'Raxcal', 'wezzy', 'froz', 'Nameless']",2025-01-24,5,https://www.vlr.gg/team/17393/fn-pocheon
Ramboot Club,RBT,Spain,Tier 2,"['neptuNo', 'Chadi', 'Faska', 'kyrrz', 'Rexs']",2025-01-26,1,https://www.vlr.gg/team/8924/ramboot-club
NOM Esports,NOM,North East,Tier 2,"['nero', 'bravo', 'Razziss', 'Amcar']",2025-01-30,1,https://www.vlr.gg/team/6191/nom-esports
Wolves Esports,WOL,China,Tier 1,"['SiuFatBB', 'Yuicaw', 'Spring', 'Lysoar', 'Juicy']",2024-11-25,1,https://www.vlr.gg/team/13790/wolves-esports
Onyx Ravens,OXR,MENA,Tier 2,"['AlMtRoOo3', 'Srx', 'Kuro', 'zMART']",2025-01-08,1,https://www.vlr.gg/team/6159/onyx-ravens
Mandatory,MDR,France,Tier 2,"['HyP', 'CyvOph', 'Enzo', 'mikee', 'keloqz']",2024-12-20,5,https://www.vlr.gg/team/7967/mandatory
Galatasaray Esports,GS,Turkey,Tier 2,"['WerlasS', 'Baransel', 'Padisah', 'PhuRME', 'Touven', 'JrayN']",2025-02-15,0,https://www.vlr.gg/team/4572/galatasaray-esports
SLT Seongnam,SLT,Korea,Tier 2,"['C1ndeR', 'Klaus', 'XuNa', 'oonzmlp', 'Zexy', 'shu']",2025-01-23,1,https://www.vlr.gg/team/12446/slt-seongnam
JiJieHao,JJH,Australia,Tier 2,"['Minimise', 'Dragon', 'LEW', 'IKANA', 'punda']",2024-11-04,1,https://www.vlr.gg/team/14469/jijiehao
KRÜ BLAZE,KRÜ.B,Americas,Game Changers,"['mmonch', 'dods', 'conir', 'micaela', 'biazik']",2025-02-28,1,https://www.vlr.gg/team/7511/kr-blaze
LONETEAM,LONE,Spain,Tier 2,['FrancyBald'],2024-10-20,0,https://www.vlr.gg/team/15386/loneteam
Papara SuperMassive,SUP,Turkey,Tier 2,"['skylen', 'ip0TT', 'VenTT', 'OXMANN', 'umu7']",2025-01-18,1,https://www.vlr.gg/team/4567/papara-supermassive
GIANTX GC,GX.GC,EMEA,Game Changers,"['Smurfette', 'ness', 'sarah', 'eva', 'Nami']",2025-01-29,2,https://www.vlr.gg/team/15119/giantx-gc
FunPlus Phoenix,FPX,China,Tier 1,"['BerLIN', 'Autumn', 'Life', 'AAAAY', 'yosemite', 'PHO']",2025-02-06,0,https://www.vlr.gg/team/11328/funplus-phoenix
FUT Esports,FUT,EMEA,Tier 1,"['MrFaliN', 'xeus', 'yetujey', 'AtaKaptan', 'qRaxs', 'cNed']",2025-01-05,1,https://www.vlr.gg/team/1184/fut-esports
Global Esports,GE,Pacific,Tier 1,"['UdoTan', 'Kr1stal', 'kellyS', 'Papi', 'Deryeon', 'taeri']",2025-02-26,0,https://www.vlr.gg/team/918/global-esports
Natus Vincere,NAVI,EMEA,Tier 1,"['ANGE1', 'Shao', 'Ruxic', 'hiro', 'koalanoob']",2024-12-14,1,https://www.vlr.gg/team/4915/natus-vincere
Cloud9,C9,Americas,Tier 1,"['mitch', 'Xeppaa', 'v1c', 'neT', 'OXY']",2025-01-10,1,https://www.vlr.gg/team/188/cloud9
YFP,YFP,North America,Tier 2,"['fiziq', 'jakee', 'stellar', 'penny', 'thief']",2024-11-19,3,https://www.vlr.gg/team/5038/yfp-gaming
Sentinels,SEN,Americas,Tier 1,"['johnqt', 'N4RRATE', 'bang', 'Zellsis', 'zekken', 'SicK']",2024-10-18,0,https://www.vlr.gg/team/2/sentinels
EXO Clan,EXO,North East,Tier 2,"['jeyj7y', 'Luca', 'Eso177', 'szoren', 'Lukey']",2025-01-15,5,https://www.vlr.gg/team/15300/exo-clan
FURIA Academy,FUR.AC,Brazil,Tier 2,"['Loss', 'skz', 'above', 'swag', 'desire']",2025-02-03,5,https://www.vlr.gg/team/17094/furia-academy
Fenerbahçe Esports,FB,Turkey,Tier 2,"['ibonata', 'Best', 'KROSTALY', 'Slaughter', 'exe', 'Yigox']",2025-01-17,5,https://www.vlr.gg/team/5310/fenerbah-e-esports
KIMMY KITTENS,KK,MA/Sing,Tier 2,"['JA', 'crazyguy', 'Vera', 'wayne', 'STYRON']",Unknown,5,https://www.vlr.gg/team/17353/kimmy-kittens
LEVIATÁN,LEV,Americas,Tier 1,"['kiNgg', 'Demon1', 'tex', 'C0M', 'nataNk']",2025-03-01,1,https://www.vlr.gg/team/2359/leviat-n
2Game Academy,2G.AC,Brazil,Tier 2,"['lucks', 'deNaro', 'basic', 'Brinks', 'Askia', 'forbanz']",2025-02-11,6,https://www.vlr.gg/team/17095/2g-esports-academy
unsigned,UNS,North East,Tier 2,"['eleo', 'Bully', 'deyten', 'darkwinjett', 'appA']",2022-09-14,1,https://www.vlr.gg/team/9240/unsigned
KOI,MKOI,EMEA,Tier 1,"['flyuh', 'grubinho', 'sheydos', 'Filu', 'soulcas']",2024-11-07,4,https://www.vlr.gg/team/7035/koi
Team Secret,TS,Pacific,Tier 1,"['JessieVash', 'invy', 'Wild0reoo', '2GE', 'Jremy']",2025-01-18,0,https://www.vlr.gg/team/6199/team-secret
TotalePRO,TOT,Brazil,Tier 2,"['Ginilson', 'bruninej', 'Loweed', 'RND', 'duhT']",Unknown,19,https://www.vlr.gg/team/8532/totalepro
NAOS,NAOS,Philippines,Tier 2,"['PTC', 'xavi8k', 'Mojer']",2025-03-03,1,https://www.vlr.gg/team/7031/naos
Team Heretics,TH,EMEA,Tier 1,"['Boo', 'MiniBoo', 'Wo0t', 'RieNs', 'benjyfishy']",2024-12-13,0,https://www.vlr.gg/team/1001/team-heretics
T1 Academy,T1A,Korea,Tier 2,"['Moothie', 'TenTen', 'exa', 'GangPin', 'DH']",2024-11-28,0,https://www.vlr.gg/team/15578/t1-academy
Permitta Unicorns,PXU,DACH,Tier 2,"['Creamydreamy', 'shiio', 'Ticey', 'Happen']",2025-01-25,1,https://www.vlr.gg/team/15707/permitta-unicorns
SAGAZ,SGZ,Brazil,Tier 3,"['turkish', 'str0nda', 'HiiiK', 'rodd', 'TORONTO']",2024-05-21,1,https://www.vlr.gg/team/13683/sagaz
Delight,DLTT,Japan,Tier 2,"['Chay', 'Luca', 'g4ll']",2025-02-03,1,https://www.vlr.gg/team/15596/delight
Nongshim RedForce,NS,Pacific,Tier 1,"['Persia', 'Francis', 'margaret', 'Dambi', 'Ivy', 'Mobugi']",2024-11-26,9,https://www.vlr.gg/team/11060/nongshim-redforce
Team Falcons Vega,FLCV,EMEA,Game Changers,"['madv', 'Alexy', 'enerii', 'Kamiyu', 'Mary', 'Alexy']",2025-01-15,3,https://www.vlr.gg/team/9314/team-falcons-vega
SaD Esports,SAD,North America,Tier 2/CVal,"['dip', 'benjii', 'zerona', 'toozy', 'furbsa']",2025-02-04,0,https://www.vlr.gg/team/13920/sad-esports
RED Canids,RED,Brazil,Tier 2,"['Urango', 'RgLMeister', 'maestr0', 'prozin', 'bezn1']",2025-02-12,1,https://www.vlr.gg/team/1124/red-canids
FNATIC,FNC,EMEA,Tier 1,"['Boaster', 'crashies', 'kaajak', 'Chronicle', 'Alfajer']",2025-02-18,0,https://www.vlr.gg/team/2593/fnatic
M80,,North America,Tier 2,"['Kyu', 'Sato', 'bao', 'Okeanos', 'bdog']",2025-01-24,6,https://www.vlr.gg/team/11001/m80
Team Galaga,GG,Spain,Tier 2,"['hastack', 'Amore', 'adm1k', 'Ximy', 'Neiker']",2025-01-28,1,https://www.vlr.gg/team/6195/team-galaga
Enterprise Esports,EP,North East,Tier 2,"['zeek', 'jas', 'Kiles', 'starki', 'doma']",2025-01-22,5,https://www.vlr.gg/team/876/enterprise-esports
Eintracht Frankfurt,SGE,DACH,Tier 2,"['Proxh', 'musashi', 'azury', 'DisisJohn', 'Leosen']",2025-01-13,2,https://www.vlr.gg/team/14478/eintracht-frankfurt
FUEGO,FUE,LATAM North,Tier 2,"['theory', 'edu', 'BandiCoot', 'Bull3tZ', 'drakk']",2025-01-26,5,https://www.vlr.gg/team/17252/fuego
Agropesca Jacare,JARE,Brazil,Tier 3,"['Ginilson', 'vinizin', 'bruninej', 'Loweed', 'duhT']",Unknown,23,https://www.vlr.gg/team/7655/agropesca-jacare
